id,latitude,longitude,barrio,localidad,ciudad
37796,5.0692096,-75.513856,Los Agustinos,Comuna Cumanday,Perímetro Urbano Manizales
37811,5.0692096,-75.513856,Los Agustinos,Comuna Cumanday,Perímetro Urbano Manizales
37822,5.0724864,-75.5171328,Colón,Comuna San José,Perímetro Urbano Manizales
37836,5.0724864,-75.5171328,Colón,Comuna San José,Perímetro Urbano Manizales
37840,5.0724864,-75.5171328,Colón,Comuna San José,Perímetro Urbano Manizales
37857,5.0724864,-75.5171328,Colón,Comuna San José,Perímetro Urbano Manizales
37882,5.0724864,-75.5171328,Colón,Comuna San José,Perímetro Urbano Manizales
37962,5.0724864,-75.5171328,Colón,Comuna San José,Perímetro Urbano Manizales
37961,5.0724864,-75.5171328,Colón,Comuna San José,Perímetro Urbano Manizales
37995,5.0724864,-75.5171328,Colón,Comuna San José,Perímetro Urbano Manizales
38024,5.0692096,-75.513856,Los Agustinos,Comuna Cumanday,Perímetro Urbano Manizales
38079,5.0495488,-75.481088,Residencias Manizales,Comuna Ecoturística Cerro de Oro,Perímetro Urbano Manizales
38105,5.0724864,-75.5171328,Colón,Comuna San José,Perímetro Urbano Manizales
38176,5.0724864,-75.5171328,Colón,Comuna San José,Perímetro Urbano Manizales
38198,5.0724864,-75.5171328,Colón,Comuna San José,Perímetro Urbano Manizales
38253,5.0724864,-75.5171328,Colón,Comuna San José,Perímetro Urbano Manizales
38307,5.0724864,-75.5171328,Colón,Comuna San José,Perímetro Urbano Manizales
38308,5.0724864,-75.5171328,Colón,Comuna San José,Perímetro Urbano Manizales
38310,5.0724864,-75.5171328,Colón,Comuna San José,Perímetro Urbano Manizales
38343,5.0461049,-75.5087326,Urapanes,,Cabecera Municipal Villamaría
39380,5.0547905,-75.4870113,Guayacanes,Comuna Palogrande,Perímetro Urbano Manizales
39371,5.0592276,-75.4894657,La Estrella,Comuna Palogrande,Perímetro Urbano Manizales
39370,5.0592139,-75.4894495,La Estrella,Comuna Palogrande,Perímetro Urbano Manizales
38407,5.0724864,-75.5171328,Colón,Comuna San José,Perímetro Urbano Manizales
38427,5.0724864,-75.5171328,Colón,Comuna San José,Perímetro Urbano Manizales
38441,5.0724864,-75.5171328,Colón,Comuna San José,Perímetro Urbano Manizales
38447,5.0724864,-75.5171328,Colón,Comuna San José,Perímetro Urbano Manizales
38450,5.0724864,-75.5171328,Colón,Comuna San José,Perímetro Urbano Manizales
38456,5.0724864,-75.5171328,Colón,Comuna San José,Perímetro Urbano Manizales
38466,5.0724864,-75.5171328,Colón,Comuna San José,Perímetro Urbano Manizales
38469,5.0724864,-75.5171328,Colón,Comuna San José,Perímetro Urbano Manizales
38483,5.0724864,-75.5171328,Colón,Comuna San José,Perímetro Urbano Manizales
38488,5.0724864,-75.5171328,Colón,Comuna San José,Perímetro Urbano Manizales
38506,5.0724864,-75.5171328,Colón,Comuna San José,Perímetro Urbano Manizales
38513,5.0724864,-75.5171328,Colón,Comuna San José,Perímetro Urbano Manizales
38512,5.0724864,-75.5171328,Colón,Comuna San José,Perímetro Urbano Manizales
38508,5.0724864,-75.5171328,Colón,Comuna San José,Perímetro Urbano Manizales
38510,5.0724864,-75.5171328,Colón,Comuna San José,Perímetro Urbano Manizales
38511,5.0724864,-75.5171328,Colón,Comuna San José,Perímetro Urbano Manizales
38514,5.0724864,-75.5171328,Colón,Comuna San José,Perímetro Urbano Manizales
38515,5.0724864,-75.5171328,Colón,Comuna San José,Perímetro Urbano Manizales
38521,5.0724864,-75.5171328,Colón,Comuna San José,Perímetro Urbano Manizales
38542,5.0724864,-75.5171328,Colón,Comuna San José,Perímetro Urbano Manizales
38554,5.0724864,-75.5171328,Colón,Comuna San José,Perímetro Urbano Manizales
38561,5.0724864,-75.5171328,Colón,Comuna San José,Perímetro Urbano Manizales
38557,5.0724864,-75.5171328,Colón,Comuna San José,Perímetro Urbano Manizales
38559,5.0724864,-75.5171328,Colón,Comuna San José,Perímetro Urbano Manizales
